graph,n,m,s,p1n,p1m,p1s,p2n,p2m,p2s,p3n,p3m,p3s,p4n,p4m,p4s,p5n,p5m,p5s,p6n,p6m,p6s,p7n,p7m,p7s,p8n,p8m,p8s,p9n,p9m,p9s,p10n,p10m,p10s,p11n,p11m,p11s,p12n,p12m,p12s,p13n,p13m,p13s,p14n,p14m,p14s,p15n,p15m,p15s,p16n,p16m,p16s,p17n,p17m,p17s,p18n,p18m,p18s,p19n,p19m,p19s,p20n,p20m,p20s,ph1n,ph1m,ph1s,ph2n,ph2m,ph2s,ph3n,ph3m,ph3s,ph4n,ph4m,ph4s,ph5n,ph5m,ph5s,ph6n,ph6m,ph6s,ph7n,ph7m,ph7s,ph8n,ph8m,ph8s,ph9n,ph9m,ph9s,ph10n,ph10m,ph10s,ph11n,ph11m,ph11s,ph12n,ph12m,ph12s,ph13n,ph13m,ph13s,ph14n,ph14m,ph14s,ph15n,ph15m,ph15s,ph16n,ph16m,ph16s,ph17n,ph17m,ph17s,ph18n,ph18m,ph18s,ph19n,ph19m,ph19s,ph20n,ph20m,ph20s,ph21n,ph21m,ph21s,ph22n,ph22m,ph22s,ph23n,ph23m,ph23s,ph24n,ph24m,ph24s,ph25n,ph25m,ph25s,ph26n,ph26m,ph26s,ph27n,ph27m,ph27s,ph28n,ph28m,ph28s,ph29n,ph29m,ph29s,ph30n,ph30m,ph30s,ph31n,ph31m,ph31s,ph32n,ph32m,ph32s,ph33n,ph33m,ph33s,ph34n,ph34m,ph34s,ph35n,ph35m,ph35s,ph36n,ph36m,ph36s,ph37n,ph37m,ph37s,ph38n,ph38m,ph38s,ph39n,ph39m,ph39s,ph40n,ph40m,ph40s,a1n,a1m,a1s,a2n,a2m,a2s,a3n,a3m,a3s,a4n,a4m,a4s,ahF1n,ahF1m,ahF1s,ahF2n,ahF2m,ahF2s,ahF3n,ahF3m,ahF3s,ahF4n,ahF4m,ahF4s,ahF5n,ahF5m,ahF5s,ahF6n,ahF6m,ahF6s,ahF7n,ahF7m,ahF7s,ahF8n,ahF8m,ahF8s,ahF9n,ahF9m,ahF9s,ahF10n,ahF10m,ahF10s,ahF11n,ahF11m,ahF11s,ahF12n,ahF12m,ahF12s,ahF13n,ahF13m,ahF13s,ahF14n,ahF14m,ahF14s,ahF15n,ahF15m,ahF15s,ahF16n,ahF16m,ahF16s,ahF17n,ahF17m,ahF17s,ahF18n,ahF18m,ahF18s,ahF19n,ahF19m,ahF19s,ahF20n,ahF20m,ahF20s,ahFlower1n,ahFlower1m,ahFlower1s,ahFlower2n,ahFlower2m,ahFlower2s,ahFlower3n,ahFlower3m,ahFlower3s,ahFlower4n,ahFlower4m,ahFlower4s,ahFlower5n,ahFlower5m,ahFlower5s,ahFlower6n,ahFlower6m,ahFlower6s,ahFlower7n,ahFlower7m,ahFlower7s,ahFlower8n,ahFlower8m,ahFlower8s,ahFlower9n,ahFlower9m,ahFlower9s,ahFlower10n,ahFlower10m,ahFlower10s,ahFlower11n,ahFlower11m,ahFlower11s,ahFlower12n,ahFlower12m,ahFlower12s,ahFlower13n,ahFlower13m,ahFlower13s,ahFlower14n,ahFlower14m,ahFlower14s,ahFlower15n,ahFlower15m,ahFlower15s,ahFlower16n,ahFlower16m,ahFlower16s,ahFlower17n,ahFlower17m,ahFlower17s,ahFlower18n,ahFlower18m,ahFlower18s,ahFlower19n,ahFlower19m,ahFlower19s,ahFlower20n,ahFlower20m,ahFlower20s,ahEdge1n,ahEdge1m,ahEdge1s,ahEdge2n,ahEdge2m,ahEdge2s,ahEdge3n,ahEdge3m,ahEdge3s,ahEdge4n,ahEdge4m,ahEdge4s,ahEdge5n,ahEdge5m,ahEdge5s,ahEdge6n,ahEdge6m,ahEdge6s,ahEdge7n,ahEdge7m,ahEdge7s,ahEdge8n,ahEdge8m,ahEdge8s,ahEdge9n,ahEdge9m,ahEdge9s,ahEdge10n,ahEdge10m,ahEdge10s,ahEdge11n,ahEdge11m,ahEdge11s,ahEdge12n,ahEdge12m,ahEdge12s,ahEdge13n,ahEdge13m,ahEdge13s,ahEdge14n,ahEdge14m,ahEdge14s,ahEdge15n,ahEdge15m,ahEdge15s,ahEdge16n,ahEdge16m,ahEdge16s,ahEdge17n,ahEdge17m,ahEdge17s,ahEdge18n,ahEdge18m,ahEdge18s,ahEdge19n,ahEdge19m,ahEdge19s,ahEdge20n,ahEdge20m,ahEdge20s,ahDiameter1n,ahDiameter1m,ahDiameter1s,ahDiameter2n,ahDiameter2m,ahDiameter2s,ahDiameter3n,ahDiameter3m,ahDiameter3s,ahDiameter4n,ahDiameter4m,ahDiameter4s,ahDiameter5n,ahDiameter5m,ahDiameter5s,ahDiameter6n,ahDiameter6m,ahDiameter6s,ahDiameter7n,ahDiameter7m,ahDiameter7s,ahDiameter8n,ahDiameter8m,ahDiameter8s,ahDiameter9n,ahDiameter9m,ahDiameter9s,ahDiameter10n,ahDiameter10m,ahDiameter10s,ahDiameter11n,ahDiameter11m,ahDiameter11s,ahDiameter12n,ahDiameter12m,ahDiameter12s,ahDiameter13n,ahDiameter13m,ahDiameter13s,ahDiameter14n,ahDiameter14m,ahDiameter14s,ahDiameter15n,ahDiameter15m,ahDiameter15s,ahDiameter16n,ahDiameter16m,ahDiameter16s,ahDiameter17n,ahDiameter17m,ahDiameter17s,ahDiameter18n,ahDiameter18m,ahDiameter18s,ahDiameter19n,ahDiameter19m,ahDiameter19s,ahDiameter20n,ahDiameter20m,ahDiameter20s,t1n,t1m,t1s,t2n,t2m,t2s,t3n,t3m,t3s,t4n,t4m,t4s,t5n,t5m,t5s,t6n,t6m,t6s,t7n,t7m,t7s,t8n,t8m,t8s,t9n,t9m,t9s,t10n,t10m,t10s,alln,allm,alls,kerneln,kernelm,kernels,combin,combim,combis
1,112,425,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,,,,,,,,,,,,,,,,,,,,,,,,,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,403,0,90,403,0,90,403,0,,,,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,,,,,,,,,,,,,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,,,,,,,,,,,,,,,,,,,,,,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,90,403,0,,,,,,,,,,,,,,,,90,403,0,85,403,0,85,403,0
2,49,107,0,40,94,1,31,71,4,24,56,6,24,56,6,24,56,6,24,56,6,24,56,6,24,56,6,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,40,94,1,31,71,4,24,56,6,24,56,6,24,56,6,24,56,6,24,56,6,24,56,6,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,40,94,1,29,69,4,24,56,6,24,56,6,40,94,1,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,22,49,7,31,71,4,31,71,4,31,71,4,40,94,1,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,31,71,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,94,1,31,71,4,24,56,6,24,56,6,24,56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,94,1,31,71,4,24,56,6,31,71,4,24,56,6,24,56,6,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,40,94,1,29,69,4,29,69,4,29,69,4,29,69,4,29,69,4,29,69,4,,,,,,,,,,0,0,15,24,68,4,0,0,15
3,2888,2981,0,12,34,1,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,12,34,1,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,12,34,1,0,0,5,0,0,5,0,0,5,12,34,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,0,0,5,0,0,5
4,212,244,0,29,59,7,14,34,11,14,34,11,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,29,59,7,14,34,11,14,34,11,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,29,59,7,14,34,11,14,34,11,0,0,15,29,59,7,14,34,11,14,34,11,0,0,15,14,34,11,21,47,9,29,59,7,29,59,7,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,29,59,7,0,0,15,0,0,15,29,59,7,21,47,9,29,59,7,29,59,7,19,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,59,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,59,7,29,59,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,59,7,21,47,9,21,47,9,21,47,9,0,0,15,0,0,15,0,0,15,,,,,,,,,,0,0,15,0,0,15,0,0,15
5,3133,6726,0,496,1476,609,465,1332,616,465,1332,616,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,1476,609,465,1332,616,465,1332,616,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,458,1310,620,,,,,,,,,,,,,,,,,,,507,1494,606,,,,,,,,,,507,1494,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,1494,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,1494,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,1494,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,1310,620,381,1192,630,380,1182,631
6,1174,1417,0,254,468,17,193,371,30,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,468,17,194,372,30,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,189,364,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,468,17,193,371,30,,,,,,,254,468,17,254,468,17,254,468,17,254,468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,468,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,364,31,153,335,35,157,341,34
7,1354,1710,0,154,264,75,67,130,90,67,130,90,67,130,90,67,130,90,67,130,90,67,130,90,67,130,90,67,130,90,67,130,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,264,75,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,104,193,81,,,,,,,,,,154,264,75,58,112,93,,,,,,,154,264,75,154,264,75,154,264,75,154,264,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,264,75,98,187,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,264,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,264,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,111,56,122,91,0,0,111
8,2383,2886,0,432,813,34,384,740,41,371,713,45,365,700,46,365,700,46,365,700,46,365,700,46,365,700,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,813,34,388,747,40,388,747,40,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,379,727,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,813,34,375,720,43,,,,,,,432,813,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,813,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,813,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,813,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,692,47,289,618,56,284,601,58
9,2736,3495,0,675,1341,29,654,1304,33,635,1252,41,635,1252,41,635,1252,41,635,1252,41,635,1252,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,1341,29,664,1324,31,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,645,1272,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,1341,29,,,,,,,,,,675,1341,29,675,1341,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,1341,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,1341,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,1341,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,1194,47,478,1085,59,476,1076,60
10,2737,3497,0,677,1344,29,652,1298,34,630,1243,42,630,1243,42,630,1243,42,630,1243,42,630,1243,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,1344,29,662,1318,32,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,640,1263,40,,,,,,,,,,,,,,,,677,1344,29,,,,,,,,,,677,1344,29,677,1344,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,1344,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,1344,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,1344,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,1344,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,1188,48,480,1082,59,478,1073,60
